ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
2159,2,20,2,5,5,0,1,1,0,13,0,13,0,1,1,1,4,1,2,0,2,3,2,3,2,0,0,2,1,1,2,1
2161,2,38,1,1,4,2,3,1,0,12,12,9,14,12,12,1,1,2,2,1,1,2,1,2,2,0,0,2,1,1,2,1
2164,1,82,1,1,4,7,2,2,0,9,8,0,9,0,11,5,-1,2,1,5,0,2,1,1,1,1,1,1,1,1,2,1
2166,1,38,1,1,1,2,1,1,0,14,12,12,13,0,9,1,0.25,1,2,7,1,2,2,2,1,0,2,1,1,1,2,1
2167,1,25,2,5,7,1,3,2,1,14,16,16,0,12,12,1,3,2,2,0,2,2,2,1,2,1,0,2,1,1,1,1
2170,2,74,1,5,4,0,1,1,0,16,16,8,0,0,12,5,-1,1,2,0,0,2,2,1,1,2,2,2,1,1,2,1
2171,1,77,1,1,10,3,2,2,0,12,8,8,18,0,12,5,-1,1,2,5,0,1,1,1,1,2,2,1,1,1,2,2
2174,2,29,1,1,5,2,4,2,2,12,12,12,12,9,12,1,9,2,1,1,1,2,2,2,2,0,0,1,2,2,2,1
2178,2,80,1,2,5,4,1,1,0,14,12,10,0,9,11,2,3,2,2,0,1,2,3,1,1,1,2,2,1,1,2,1
2184,2,44,1,1,2,7,9,4,1,16,20,0,16,0,12,7,-1,1,2,1,0,1,2,1,1,2,2,1,1,1,2,1
2186,1,83,1,1,7,3,2,2,0,12,0,12,12,0,11,5,-1,2,2,2,0,3,1,1,1,1,1,1,1,1,2,1
2187,2,47,1,3,2,0,1,1,0,12,14,12,0,12,12,1,19,2,2,0,2,3,1,1,1,2,2,1,1,1,2,1
2189,1,37,1,1,2,2,3,2,0,12,12,12,12,0,12,1,12,2,2,1,2,3,2,2,2,0,0,1,1,1,2,1
2191,1,40,1,1,1,1,3,2,0,12,12,12,16,12,12,1,16,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1
2198,1,59,2,3,8,1,1,1,0,16,18,12,0,12,12,5,-1,1,2,0,0,3,3,1,1,1,3,2,2,2,2,1
2201,2,56,1,3,5,2,2,1,0,10,0,0,0,4,11,1,1,2,1,0,2,2,2,2,1,0,2,2,1,1,2,1
2206,1,62,1,1,5,1,2,2,0,12,12,12,18,12,12,1,9,2,2,4,2,2,3,1,1,1,3,1,1,1,2,1
2209,2,40,1,1,1,0,2,2,0,16,16,16,18,10,12,2,12,2,2,1,1,2,1,1,1,1,3,1,1,1,2,1
2213,1,77,1,2,6,3,1,1,0,8,3,4,0,0,1,5,-1,2,2,0,0,3,1,1,1,1,2,2,4,3,1,1
2221,1,57,1,5,2,0,1,1,0,12,0,0,0,0,2,5,-1,2,2,0,0,4,2,2,2,0,0,2,1,1,2,1
